student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,Gender,School_Type,Internet_Access,Grade_Category,Pass_Flag,Subject_Average,Attendance_Rate
174,18,male,public,post graduate,3.0,65.6,yes,<15 min,yes,online videos,43.7,50.5,39.8,50.5,e,Male,Public,Yes,E,Fail,44.666666666666664,65.6
175,18,female,public,phd,3.6,56.1,yes,30-60 min,no,mixed,55.8,42.0,37.8,48.2,e,Female,Public,Yes,E,Fail,45.199999999999996,56.1
176,16,other,private,graduate,2.7,79.5,yes,<15 min,no,notes,50.8,52.3,79.3,63.4,d,Other,Private,Yes,D,Pass,60.79999999999999,79.5
177,18,other,public,no formal,6.7,90.8,yes,>60 min,no,group study,77.3,100.0,99.8,86.1,b,Other,Public,Yes,B,Pass,92.36666666666667,90.8
178,14,female,public,diploma,4.2,89.5,yes,15-30 min,yes,online videos,48.0,62.7,64.5,63.1,d,Female,Public,Yes,D,Pass,58.4,89.5
179,19,male,public,high school,1.5,61.7,yes,30-60 min,no,textbook,35.8,28.0,36.3,36.9,f,Male,Public,Yes,F,Fail,33.36666666666667,61.7
180,17,female,private,diploma,2.0,71.7,yes,>60 min,yes,textbook,45.7,24.3,40.3,43.7,e,Female,Private,Yes,E,Fail,36.766666666666666,71.7
181,19,male,public,high school,2.7,77.6,yes,30-60 min,yes,coaching,38.0,51.5,59.8,49.5,e,Male,Public,Yes,E,Fail,49.76666666666667,77.6
182,14,female,public,no formal,3.5,90.1,yes,30-60 min,yes,online videos,49.9,56.9,47.5,59.5,d,Female,Public,Yes,D,Pass,51.43333333333334,90.1
183,16,female,public,high school,4.9,59.8,yes,>60 min,no,coaching,78.7,64.1,81.9,73.0,c,Female,Public,Yes,C,Pass,74.9,59.8
184,18,other,private,diploma,7.7,56.6,yes,30-60 min,no,textbook,79.1,89.3,98.0,81.5,c,Other,Private,Yes,C,Pass,88.8,56.6
185,16,other,private,no formal,2.5,96.6,yes,15-30 min,no,mixed,50.3,47.4,61.8,59.7,d,Other,Private,Yes,D,Pass,53.166666666666664,96.6
186,16,other,public,no formal,3.0,57.3,no,15-30 min,yes,notes,32.5,39.6,41.6,38.6,f,Other,Public,No,F,Fail,37.9,57.3
187,14,male,private,high school,0.7,99.5,yes,30-60 min,no,coaching,51.7,49.6,46.3,44.7,e,Male,Private,Yes,E,Fail,49.20000000000001,99.5
188,16,other,private,graduate,3.3,79.9,yes,15-30 min,yes,mixed,64.3,47.5,54.3,58.4,d,Other,Private,Yes,D,Pass,55.36666666666667,79.9
189,15,male,private,graduate,5.6,74.9,yes,<15 min,no,notes,70.4,72.9,55.4,71.8,c,Male,Private,Yes,C,Pass,66.23333333333333,74.9
190,15,female,private,diploma,7.7,59.4,yes,30-60 min,no,group study,65.5,73.4,77.6,76.1,c,Female,Private,Yes,C,Pass,72.16666666666667,59.4
191,18,other,public,graduate,6.1,93.0,yes,30-60 min,no,group study,73.9,92.3,80.2,86.6,b,Other,Public,Yes,B,Pass,82.13333333333333,93.0
192,17,other,private,high school,1.4,58.6,yes,30-60 min,no,online videos,7.6,32.8,16.7,25.5,f,Other,Private,Yes,F,Fail,19.03333333333333,58.6
193,17,female,private,post graduate,7.2,70.1,yes,15-30 min,yes,textbook,71.1,55.2,78.0,80.1,c,Female,Private,Yes,C,Pass,68.10000000000001,70.1
194,16,male,private,no formal,6.8,52.4,yes,<15 min,no,mixed,90.4,88.5,91.3,84.1,c,Male,Private,Yes,C,Pass,90.06666666666666,52.4
195,19,female,private,no formal,1.9,51.1,yes,<15 min,yes,online videos,24.7,36.9,36.8,32.5,f,Female,Private,Yes,F,Fail,32.8,51.1
196,14,other,private,phd,7.5,86.5,yes,30-60 min,no,coaching,82.8,100.0,96.6,93.0,b,Other,Private,Yes,B,Pass,93.13333333333333,86.5
197,16,female,private,diploma,5.9,60.4,yes,<15 min,yes,mixed,62.6,78.9,78.5,71.9,c,Female,Private,Yes,C,Pass,73.33333333333333,60.4
198,14,female,private,graduate,6.4,80.0,yes,30-60 min,yes,coaching,86.3,92.6,94.7,90.7,b,Female,Private,Yes,B,Pass,91.19999999999999,80.0
199,16,female,public,diploma,3.9,86.2,yes,<15 min,yes,mixed,71.3,56.8,69.7,60.9,d,Female,Public,Yes,D,Pass,65.93333333333334,86.2
200,19,female,public,graduate,2.0,74.6,yes,15-30 min,no,coaching,45.7,43.3,65.7,54.9,e,Female,Public,Yes,E,Fail,51.56666666666666,74.6
201,16,male,public,post graduate,6.5,82.8,yes,>60 min,yes,online videos,84.0,93.9,98.9,90.0,b,Male,Public,Yes,B,Pass,92.26666666666667,82.8
202,19,other,private,post graduate,4.1,62.1,yes,15-30 min,no,mixed,38.3,44.0,43.1,50.1,e,Other,Private,Yes,E,Fail,41.800000000000004,62.1
203,16,male,public,high school,7.8,90.9,yes,15-30 min,no,mixed,100.0,92.8,100.0,100.0,a,Male,Public,Yes,A,Pass,97.60000000000001,90.9
204,18,other,public,graduate,1.7,60.3,yes,>60 min,yes,notes,41.8,40.5,37.8,42.2,e,Other,Public,Yes,E,Fail,40.03333333333333,60.3
205,16,male,public,post graduate,3.2,79.5,yes,<15 min,yes,mixed,45.8,63.5,50.2,59.9,d,Male,Public,Yes,D,Pass,53.166666666666664,79.5
206,15,female,private,diploma,6.0,91.8,yes,15-30 min,no,mixed,72.1,93.0,76.3,82.7,c,Female,Private,Yes,C,Pass,80.46666666666665,91.8
207,18,female,private,diploma,4.8,89.7,yes,15-30 min,no,mixed,84.1,82.3,71.1,80.2,c,Female,Private,Yes,C,Pass,79.16666666666666,89.7
208,19,female,public,graduate,3.7,52.6,yes,15-30 min,yes,mixed,68.6,60.5,66.4,57.8,d,Female,Public,Yes,D,Pass,65.16666666666667,52.6
209,15,female,private,graduate,5.8,68.4,yes,>60 min,yes,coaching,58.9,61.4,67.7,65.2,d,Female,Private,Yes,D,Pass,62.666666666666664,68.4
210,18,other,public,high school,6.0,92.6,yes,>60 min,yes,notes,89.1,77.9,93.2,82.5,c,Other,Public,Yes,C,Pass,86.73333333333333,92.6
211,15,male,public,phd,4.8,92.5,yes,<15 min,yes,notes,79.9,73.5,86.9,76.2,c,Male,Public,Yes,C,Pass,80.10000000000001,92.5
212,18,other,private,graduate,2.9,81.8,yes,>60 min,yes,group study,84.3,67.5,64.3,65.5,d,Other,Private,Yes,D,Pass,72.03333333333335,81.8
213,18,other,public,graduate,5.1,55.4,no,<15 min,no,notes,52.9,50.8,69.7,62.8,d,Other,Public,No,D,Pass,57.79999999999999,55.4
214,16,other,public,high school,4.6,70.2,yes,<15 min,no,textbook,79.3,51.6,47.3,61.4,d,Other,Public,Yes,D,Pass,59.4,70.2
215,18,male,private,post graduate,6.5,98.1,yes,30-60 min,yes,mixed,90.9,92.9,74.5,83.2,c,Male,Private,Yes,C,Pass,86.10000000000001,98.1
216,15,male,public,phd,5.4,55.3,yes,15-30 min,yes,mixed,58.4,68.2,52.9,67.5,d,Male,Public,Yes,D,Pass,59.833333333333336,55.3
217,14,female,private,post graduate,4.2,90.1,yes,<15 min,no,notes,82.4,48.1,66.6,75.7,c,Female,Private,Yes,C,Pass,65.7,90.1
218,14,male,public,graduate,0.6,70.9,yes,<15 min,no,textbook,35.3,47.9,35.1,43.0,e,Male,Public,Yes,E,Fail,39.43333333333333,70.9
219,16,other,private,graduate,1.8,87.2,no,30-60 min,no,textbook,54.4,52.6,46.8,52.1,e,Other,Private,No,E,Fail,51.26666666666667,87.2
220,19,other,private,high school,3.0,52.7,yes,15-30 min,no,textbook,53.2,49.2,42.7,47.3,e,Other,Private,Yes,E,Fail,48.366666666666674,52.7
221,14,female,private,no formal,5.0,50.5,yes,15-30 min,no,mixed,55.3,61.3,54.4,61.5,d,Female,Private,Yes,D,Pass,57.0,50.5
222,16,other,public,graduate,6.4,65.0,yes,15-30 min,yes,notes,100.0,99.3,71.5,82.4,c,Other,Public,Yes,C,Pass,90.26666666666667,65.0
223,18,male,private,high school,7.7,93.5,yes,<15 min,no,notes,99.0,98.9,100.0,99.1,a,Male,Private,Yes,A,Pass,99.3,93.5
224,15,other,public,no formal,5.0,84.0,yes,>60 min,no,coaching,69.6,45.8,67.5,69.1,d,Other,Public,Yes,D,Pass,60.96666666666666,84.0
225,18,male,private,post graduate,6.0,80.6,yes,15-30 min,yes,textbook,85.5,91.5,82.8,77.4,c,Male,Private,Yes,C,Pass,86.60000000000001,80.6
226,15,other,private,diploma,5.2,99.9,yes,>60 min,yes,online videos,93.0,95.9,78.3,85.6,b,Other,Private,Yes,B,Pass,89.06666666666666,99.9
227,18,female,private,phd,3.7,67.4,yes,30-60 min,no,group study,72.0,56.3,52.6,63.1,d,Female,Private,Yes,D,Pass,60.300000000000004,67.4
228,17,female,private,phd,5.1,92.5,no,<15 min,no,notes,87.3,74.9,90.4,80.2,c,Female,Private,No,C,Pass,84.2,92.5
229,17,male,private,no formal,3.5,55.5,no,15-30 min,no,textbook,76.3,64.3,66.4,54.8,e,Male,Private,No,E,Fail,69.0,55.5
230,15,female,public,post graduate,3.9,58.5,yes,>60 min,yes,mixed,47.1,71.6,47.1,44.6,e,Female,Public,Yes,E,Fail,55.26666666666666,58.5
231,16,other,private,diploma,7.3,73.9,yes,<15 min,no,mixed,99.2,100.0,96.2,97.2,a,Other,Private,Yes,A,Pass,98.46666666666665,73.9
232,19,other,private,post graduate,4.7,98.0,yes,<15 min,no,group study,83.9,63.3,86.5,70.5,c,Other,Private,Yes,C,Pass,77.89999999999999,98.0
233,14,female,public,no formal,1.3,85.2,yes,30-60 min,yes,textbook,39.8,46.2,50.7,39.7,f,Female,Public,Yes,F,Fail,45.56666666666666,85.2
234,18,male,public,diploma,4.4,55.6,yes,15-30 min,no,textbook,41.0,45.5,50.3,52.6,e,Male,Public,Yes,E,Fail,45.6,55.6
235,16,female,private,graduate,7.6,97.7,yes,30-60 min,yes,mixed,90.5,87.7,85.7,95.5,a,Female,Private,Yes,A,Pass,87.96666666666665,97.7
236,18,other,private,diploma,1.3,88.3,yes,>60 min,no,mixed,34.5,37.6,53.8,39.4,f,Other,Private,Yes,F,Fail,41.96666666666666,88.3
237,17,male,private,graduate,7.8,86.8,no,30-60 min,no,notes,100.0,95.5,63.0,87.6,b,Male,Private,No,B,Pass,86.16666666666667,86.8
238,16,other,public,no formal,7.9,77.6,yes,15-30 min,no,coaching,92.3,100.0,99.0,100.0,a,Other,Public,Yes,A,Pass,97.10000000000001,77.6
239,15,other,public,no formal,4.7,69.7,yes,>60 min,no,coaching,51.8,50.2,59.2,63.7,d,Other,Public,Yes,D,Pass,53.73333333333333,69.7
240,17,other,public,graduate,3.0,55.5,yes,<15 min,yes,group study,47.9,32.7,32.3,39.2,f,Other,Public,Yes,F,Fail,37.63333333333333,55.5
241,14,female,public,diploma,0.6,81.0,yes,>60 min,no,online videos,56.6,19.4,28.1,36.1,f,Female,Public,Yes,F,Fail,34.699999999999996,81.0
242,17,male,public,graduate,0.6,56.4,yes,<15 min,yes,mixed,14.4,39.3,27.5,28.6,f,Male,Public,Yes,F,Fail,27.066666666666663,56.4
243,14,male,public,diploma,3.4,79.5,no,<15 min,no,online videos,85.1,67.8,74.7,64.0,d,Male,Public,No,D,Pass,75.86666666666666,79.5
244,17,other,private,no formal,6.4,77.0,yes,15-30 min,no,notes,72.7,86.0,73.9,82.2,c,Other,Private,Yes,C,Pass,77.53333333333333,77.0
245,17,female,public,post graduate,7.6,79.8,no,<15 min,yes,mixed,77.5,95.8,100.0,95.8,a,Female,Public,No,A,Pass,91.10000000000001,79.8
246,14,male,public,no formal,1.7,91.3,yes,>60 min,yes,coaching,29.1,46.6,40.8,44.0,e,Male,Public,Yes,E,Fail,38.833333333333336,91.3
247,18,other,public,post graduate,4.2,70.6,yes,30-60 min,no,notes,69.7,71.9,55.9,69.1,d,Other,Public,Yes,D,Pass,65.83333333333334,70.6
248,16,male,private,no formal,4.3,71.8,yes,<15 min,no,online videos,66.0,73.7,62.2,70.3,c,Male,Private,Yes,C,Pass,67.3,71.8
249,18,other,private,phd,3.4,53.0,yes,30-60 min,no,coaching,39.1,31.6,34.5,40.0,e,Other,Private,Yes,E,Fail,35.06666666666667,53.0
250,14,female,public,high school,4.5,64.4,yes,<15 min,no,notes,53.7,68.1,54.1,59.2,d,Female,Public,Yes,D,Pass,58.63333333333333,64.4
251,15,female,private,phd,7.4,54.1,yes,30-60 min,no,online videos,74.3,99.7,76.5,87.5,b,Female,Private,Yes,B,Pass,83.5,54.1
252,16,male,private,no formal,3.8,57.1,yes,>60 min,yes,group study,55.5,51.3,55.0,48.8,e,Male,Private,Yes,E,Fail,53.93333333333334,57.1
253,15,male,public,diploma,1.5,71.3,yes,<15 min,yes,notes,27.0,30.2,38.5,32.5,f,Male,Public,Yes,F,Fail,31.900000000000002,71.3
254,15,other,private,diploma,5.5,70.4,no,15-30 min,yes,notes,74.5,82.2,61.5,63.2,d,Other,Private,No,D,Pass,72.73333333333333,70.4
255,17,female,private,no formal,0.7,96.8,yes,30-60 min,no,textbook,45.0,45.6,26.8,38.2,f,Female,Private,Yes,F,Fail,39.13333333333333,96.8
256,14,other,public,diploma,7.6,56.0,yes,>60 min,no,group study,74.0,61.4,71.1,77.6,c,Other,Public,Yes,C,Pass,68.83333333333333,56.0
257,18,other,private,high school,7.5,57.5,no,30-60 min,no,coaching,82.6,94.5,88.1,87.9,b,Other,Private,No,B,Pass,88.39999999999999,57.5
258,14,male,public,diploma,1.2,87.5,yes,15-30 min,yes,mixed,13.5,46.3,21.7,34.9,f,Male,Public,Yes,F,Fail,27.166666666666668,87.5
259,15,female,public,diploma,4.6,51.1,yes,<15 min,yes,textbook,66.7,56.7,45.3,58.4,d,Female,Public,Yes,D,Pass,56.23333333333333,51.1
260,17,other,public,high school,6.5,82.5,yes,30-60 min,no,group study,95.2,80.5,90.3,93.4,b,Other,Public,Yes,B,Pass,88.66666666666667,82.5
261,18,female,public,post graduate,4.0,87.4,yes,15-30 min,yes,group study,80.5,88.2,60.3,75.8,c,Female,Public,Yes,C,Pass,76.33333333333333,87.4
262,15,female,private,graduate,4.1,81.4,yes,>60 min,no,textbook,58.2,70.5,74.0,67.4,d,Female,Private,Yes,D,Pass,67.56666666666666,81.4
263,15,female,private,phd,7.8,64.4,no,30-60 min,no,coaching,86.2,98.5,87.4,86.1,b,Female,Private,No,B,Pass,90.7,64.4
264,19,other,public,post graduate,2.2,55.2,yes,>60 min,no,group study,23.7,38.5,49.4,36.2,f,Other,Public,Yes,F,Fail,37.199999999999996,55.2
265,19,other,public,high school,4.4,99.7,yes,30-60 min,no,online videos,65.3,58.8,63.1,75.7,c,Other,Public,Yes,C,Pass,62.4,99.7
266,17,other,private,high school,1.4,93.0,yes,<15 min,no,group study,68.4,62.7,48.3,55.3,d,Other,Private,Yes,D,Pass,59.80000000000001,93.0
267,16,female,private,phd,2.8,86.5,yes,<15 min,no,coaching,48.2,58.7,59.4,51.8,e,Female,Private,Yes,E,Fail,55.43333333333334,86.5
268,16,female,private,high school,6.9,59.4,yes,30-60 min,yes,online videos,71.0,63.0,80.2,72.6,c,Female,Private,Yes,C,Pass,71.39999999999999,59.4
269,17,female,private,no formal,5.9,71.5,no,<15 min,no,textbook,54.6,94.8,53.4,69.4,d,Female,Private,No,D,Pass,67.60000000000001,71.5
270,17,male,private,graduate,5.1,85.5,yes,15-30 min,yes,mixed,65.1,65.8,90.1,74.9,c,Male,Private,Yes,C,Pass,73.66666666666666,85.5
271,15,other,public,phd,1.4,55.1,yes,30-60 min,no,group study,18.7,23.0,22.3,30.2,f,Other,Public,Yes,F,Fail,21.333333333333332,55.1
272,14,male,private,high school,6.9,97.9,yes,<15 min,no,group study,96.9,100.0,100.0,100.0,a,Male,Private,Yes,A,Pass,98.96666666666665,97.9
273,14,other,private,graduate,2.7,97.8,yes,<15 min,no,online videos,52.3,45.4,56.2,58.8,d,Other,Private,Yes,D,Pass,51.29999999999999,97.8
274,19,female,public,diploma,4.5,57.5,yes,<15 min,yes,textbook,58.8,61.4,71.0,62.3,d,Female,Public,Yes,D,Pass,63.73333333333333,57.5
275,16,other,private,diploma,2.3,59.9,yes,15-30 min,no,online videos,54.4,42.4,28.0,49.2,e,Other,Private,Yes,E,Fail,41.6,59.9
276,16,other,public,diploma,4.4,68.2,yes,30-60 min,no,online videos,83.2,68.8,100.0,69.0,d,Other,Public,Yes,D,Pass,84.0,68.2
277,16,female,public,no formal,4.7,72.5,yes,15-30 min,no,mixed,64.8,50.3,60.1,60.3,d,Female,Public,Yes,D,Pass,58.4,72.5
278,18,female,private,diploma,3.1,72.0,yes,<15 min,yes,notes,47.6,78.2,71.2,58.1,d,Female,Private,Yes,D,Pass,65.66666666666667,72.0
279,14,female,public,high school,4.3,84.4,yes,30-60 min,no,textbook,57.5,61.8,71.5,70.7,c,Female,Public,Yes,C,Pass,63.6,84.4
280,14,female,public,post graduate,3.5,73.5,yes,>60 min,yes,textbook,46.4,64.0,60.3,56.5,d,Female,Public,Yes,D,Pass,56.9,73.5
281,15,male,private,high school,5.7,59.2,yes,<15 min,no,online videos,77.3,61.5,85.9,75.9,c,Male,Private,Yes,C,Pass,74.9,59.2
282,16,male,private,phd,4.6,63.1,yes,<15 min,no,online videos,69.4,57.6,76.9,59.3,d,Male,Private,Yes,D,Pass,67.96666666666667,63.1
283,18,other,private,no formal,7.1,70.6,yes,<15 min,no,textbook,85.8,89.6,76.3,76.3,c,Other,Private,Yes,C,Pass,83.89999999999999,70.6
284,16,other,private,diploma,0.9,76.0,yes,15-30 min,yes,mixed,48.7,29.6,44.1,28.0,f,Other,Private,Yes,F,Fail,40.800000000000004,76.0
285,16,male,private,high school,0.7,96.2,yes,<15 min,yes,notes,45.7,60.1,47.1,46.8,e,Male,Private,Yes,E,Fail,50.96666666666667,96.2
286,19,male,public,diploma,1.9,54.8,yes,30-60 min,no,mixed,31.0,34.5,42.5,36.4,f,Male,Public,Yes,F,Fail,36.0,54.8
287,14,female,public,post graduate,1.4,90.2,yes,30-60 min,no,notes,52.0,59.2,54.9,52.6,e,Female,Public,Yes,E,Fail,55.36666666666667,90.2
288,17,other,public,phd,4.4,65.5,yes,30-60 min,yes,textbook,51.0,71.4,71.4,69.3,d,Other,Public,Yes,D,Pass,64.60000000000001,65.5
289,17,other,public,post graduate,2.0,86.4,no,<15 min,yes,online videos,53.0,43.5,51.0,53.1,e,Other,Public,No,E,Fail,49.166666666666664,86.4
290,16,other,public,graduate,0.6,62.9,yes,15-30 min,yes,group study,27.4,42.7,27.9,31.0,f,Other,Public,Yes,F,Fail,32.666666666666664,62.9
291,18,male,public,graduate,2.6,69.3,yes,30-60 min,no,coaching,30.1,34.0,40.5,42.2,e,Male,Public,Yes,E,Fail,34.86666666666667,69.3
292,15,male,public,phd,4.3,72.2,no,30-60 min,yes,textbook,77.4,69.3,74.3,64.6,d,Male,Public,No,D,Pass,73.66666666666667,72.2
293,19,female,public,phd,5.9,87.5,no,>60 min,yes,group study,74.9,80.7,94.4,82.4,c,Female,Public,No,C,Pass,83.33333333333334,87.5
294,15,male,private,post graduate,3.8,58.3,yes,<15 min,no,mixed,50.9,59.1,36.1,55.9,d,Male,Private,Yes,D,Pass,48.699999999999996,58.3
295,17,female,public,no formal,7.7,67.3,yes,>60 min,no,online videos,72.7,88.8,84.2,88.3,b,Female,Public,Yes,B,Pass,81.89999999999999,67.3
296,17,female,private,high school,2.0,76.4,yes,15-30 min,no,coaching,49.5,68.7,30.6,48.0,e,Female,Private,Yes,E,Fail,49.6,76.4
297,19,other,public,high school,4.4,82.9,yes,15-30 min,yes,notes,92.9,80.7,75.3,73.4,c,Other,Public,Yes,C,Pass,82.96666666666668,82.9
298,16,male,public,high school,2.4,53.8,yes,>60 min,yes,notes,50.5,44.9,35.6,48.5,e,Male,Public,Yes,E,Fail,43.666666666666664,53.8
299,15,other,public,phd,6.6,54.7,yes,15-30 min,no,textbook,86.0,73.1,62.7,75.1,c,Other,Public,Yes,C,Pass,73.93333333333334,54.7
300,14,other,private,no formal,1.9,85.9,yes,>60 min,no,notes,50.1,56.8,53.5,56.7,d,Other,Private,Yes,D,Pass,53.46666666666667,85.9
301,16,other,private,phd,7.7,68.3,yes,30-60 min,yes,mixed,97.5,86.9,75.7,90.9,b,Other,Private,Yes,B,Pass,86.7,68.3
302,18,other,public,post graduate,5.9,58.3,yes,15-30 min,no,notes,60.0,54.9,73.2,67.6,d,Other,Public,Yes,D,Pass,62.70000000000001,58.3
303,14,other,public,graduate,4.7,63.2,yes,15-30 min,no,textbook,49.6,80.9,62.2,60.2,d,Other,Public,Yes,D,Pass,64.23333333333333,63.2
304,19,male,private,high school,4.5,79.9,no,>60 min,yes,textbook,77.5,82.6,65.9,73.2,c,Male,Private,No,C,Pass,75.33333333333333,79.9
305,17,female,public,high school,3.2,97.7,yes,>60 min,no,mixed,78.4,57.8,69.0,64.3,d,Female,Public,Yes,D,Pass,68.39999999999999,97.7
306,14,female,private,post graduate,0.7,86.6,yes,>60 min,yes,group study,37.1,48.0,41.5,45.8,e,Female,Private,Yes,E,Fail,42.199999999999996,86.6
307,15,other,private,post graduate,7.4,89.9,yes,>60 min,no,mixed,99.7,100.0,97.4,96.6,a,Other,Private,Yes,A,Pass,99.03333333333335,89.9
308,17,male,public,graduate,6.5,80.4,yes,15-30 min,no,group study,55.3,70.7,100.0,75.0,c,Male,Public,Yes,C,Pass,75.33333333333333,80.4
309,15,female,private,graduate,1.5,68.6,yes,>60 min,yes,mixed,28.2,21.1,36.6,39.1,f,Female,Private,Yes,F,Fail,28.633333333333336,68.6
310,14,male,private,post graduate,1.4,98.1,yes,>60 min,no,textbook,76.3,42.1,51.3,50.3,e,Male,Private,Yes,E,Fail,56.56666666666666,98.1
311,17,male,private,post graduate,2.8,54.1,no,>60 min,yes,group study,43.4,36.5,55.7,48.2,e,Male,Private,No,E,Fail,45.20000000000001,54.1
312,18,other,private,post graduate,6.2,90.4,no,15-30 min,no,textbook,85.3,91.1,100.0,91.6,b,Other,Private,No,B,Pass,92.13333333333333,90.4
313,14,male,public,high school,4.3,62.9,yes,30-60 min,yes,coaching,58.2,38.9,45.7,51.9,e,Male,Public,Yes,E,Fail,47.6,62.9
314,15,other,public,no formal,5.4,80.4,yes,>60 min,no,coaching,67.0,86.2,73.8,77.7,c,Other,Public,Yes,C,Pass,75.66666666666667,80.4
315,15,other,private,diploma,0.5,99.1,yes,15-30 min,yes,group study,53.7,49.6,53.2,47.6,e,Other,Private,Yes,E,Fail,52.166666666666664,99.1
316,17,other,public,diploma,7.4,92.1,yes,30-60 min,yes,online videos,100.0,100.0,95.4,100.0,a,Other,Public,Yes,A,Pass,98.46666666666665,92.1
317,18,male,public,diploma,1.7,92.5,yes,>60 min,yes,textbook,47.1,56.5,53.0,50.5,e,Male,Public,Yes,E,Fail,52.199999999999996,92.5
318,18,male,private,graduate,2.9,91.2,yes,<15 min,no,coaching,65.0,39.6,70.0,50.5,e,Male,Private,Yes,E,Fail,58.199999999999996,91.2
319,19,female,public,phd,7.6,72.7,yes,30-60 min,no,coaching,65.5,59.2,78.9,81.4,c,Female,Public,Yes,C,Pass,67.86666666666667,72.7
320,18,female,public,post graduate,6.0,69.7,yes,<15 min,yes,notes,70.7,82.9,69.9,74.5,c,Female,Public,Yes,C,Pass,74.50000000000001,69.7
321,15,other,private,post graduate,4.3,75.9,yes,>60 min,yes,notes,82.4,62.1,87.3,69.2,d,Other,Private,Yes,D,Pass,77.26666666666667,75.9
322,14,female,public,post graduate,7.0,64.3,yes,15-30 min,no,textbook,100.0,97.6,86.0,90.7,b,Female,Public,Yes,B,Pass,94.53333333333335,64.3
323,17,male,private,diploma,1.0,73.9,yes,30-60 min,yes,coaching,30.4,33.8,38.1,35.1,f,Male,Private,Yes,F,Fail,34.099999999999994,73.9
324,19,other,public,graduate,1.1,56.3,yes,<15 min,no,online videos,27.3,36.1,15.1,34.1,f,Other,Public,Yes,F,Fail,26.166666666666668,56.3
325,19,other,public,diploma,1.7,94.6,yes,<15 min,no,group study,58.1,65.2,62.3,55.8,d,Other,Public,Yes,D,Pass,61.866666666666674,94.6
326,15,female,private,post graduate,2.5,86.8,yes,>60 min,yes,mixed,26.4,38.4,48.7,46.2,e,Female,Private,Yes,E,Fail,37.833333333333336,86.8
327,15,other,public,phd,5.8,53.1,yes,>60 min,yes,group study,68.2,60.8,53.2,68.1,d,Other,Public,Yes,D,Pass,60.73333333333333,53.1
328,14,other,public,diploma,4.5,83.0,yes,15-30 min,yes,coaching,63.5,74.2,60.4,60.8,d,Other,Public,Yes,D,Pass,66.03333333333333,83.0
329,14,female,public,post graduate,3.7,87.9,yes,30-60 min,yes,notes,56.4,73.4,73.7,64.1,d,Female,Public,Yes,D,Pass,67.83333333333333,87.9
330,17,male,private,no formal,6.4,93.1,yes,<15 min,yes,coaching,95.9,100.0,90.5,96.0,a,Male,Private,Yes,A,Pass,95.46666666666665,93.1
331,17,female,public,diploma,2.9,66.5,yes,<15 min,no,online videos,55.8,42.3,50.6,55.8,d,Female,Public,Yes,D,Pass,49.56666666666666,66.5
332,16,female,public,phd,1.1,81.5,no,30-60 min,yes,mixed,30.2,43.0,56.8,45.1,e,Female,Public,No,E,Fail,43.333333333333336,81.5
333,15,other,public,post graduate,3.5,63.8,no,<15 min,no,textbook,60.9,51.2,61.0,61.6,d,Other,Public,No,D,Pass,57.699999999999996,63.8
334,18,other,public,graduate,6.2,92.4,yes,30-60 min,yes,group study,68.4,76.2,89.4,82.6,c,Other,Public,Yes,C,Pass,78.00000000000001,92.4
335,16,female,public,high school,4.1,93.8,no,30-60 min,yes,textbook,62.8,61.3,81.9,69.4,d,Female,Public,No,D,Pass,68.66666666666667,93.8
336,18,female,private,post graduate,7.8,53.8,no,<15 min,yes,coaching,74.4,69.1,71.1,79.6,c,Female,Private,No,C,Pass,71.53333333333333,53.8
337,19,female,public,phd,6.9,64.3,yes,30-60 min,yes,online videos,92.7,77.4,69.6,77.6,c,Female,Public,Yes,C,Pass,79.9,64.3
338,15,female,public,diploma,6.4,55.1,yes,<15 min,yes,mixed,85.0,67.5,80.0,76.4,c,Female,Public,Yes,C,Pass,77.5,55.1
339,15,female,public,post graduate,6.3,69.9,yes,15-30 min,no,mixed,97.2,77.2,73.8,81.9,c,Female,Public,Yes,C,Pass,82.73333333333333,69.9
